Entity,Code,Year,14.1.1 - Beach litter per square kilometer (Number) - EN_MAR_BEALITSQ
Caribbean,,2018,1582629
Cayman Islands,CYM,2016,3348055
Cayman Islands,CYM,2017,1209102
Cayman Islands,CYM,2018,231898
Central America,,2015,8419429
Central America,,2016,3509068
Central America,,2017,885788
Central America,,2018,1479842
Central Asia,,2015,11449
Central and Southern Asia,,2016,1271339
Central and Southern Asia,,2017,1340241
Central and Southern Asia,,2018,521671
Chile,CHL,2015,791304
Chile,CHL,2016,703401
Chile,CHL,2017,1295306
Chile,CHL,2018,3741895
China,CHN,2015,14219138
China,CHN,2016,114916
China,CHN,2017,278760
China,CHN,2018,134588
Colombia,COL,2016,46909860
Colombia,COL,2017,4037824
Colombia,COL,2018,426619
Costa Rica,CRI,2015,13522727
Costa Rica,CRI,2016,2798832
Costa Rica,CRI,2017,2260980
Costa Rica,CRI,2018,1672656
Cote d'Ivoire,CIV,2018,10022
Croatia,HRV,2015,45382353
Croatia,HRV,2016,429252
Croatia,HRV,2019,55350
Cuba,CUB,2016,631356
Cuba,CUB,2017,6047124
Curacao,CUW,2018,1930486
Cyprus,CYP,2015,380500
Cyprus,CYP,2016,1230420
Cyprus,CYP,2017,4879745
Cyprus,CYP,2018,4901154
Cyprus,CYP,2020,18794702
Czechia,CZE,2017,137315
Czechia,CZE,2018,10974
Denmark,DNK,2015,128986
Denmark,DNK,2016,196139
Denmark,DNK,2017,63905
Denmark,DNK,2018,208071
Denmark,DNK,2019,249039
Denmark,DNK,2020,197792
Dominican Republic,DOM,2015,92395
Dominican Republic,DOM,2016,3779883
Dominican Republic,DOM,2017,5244173
Dominican Republic,DOM,2018,4872620
Eastern Africa,,2016,3383139
Eastern Africa,,2017,2334515
Eastern Africa,,2018,289854
Eastern Asia,,2015,6610703
Eastern Asia,,2016,165807
Eastern Asia,,2017,342850
Eastern Asia,,2018,189980
Eastern Europe,,2016,855105
Eastern Europe,,2017,17044
Eastern Europe,,2018,742410
Eastern Europe,,2019,62306
Eastern Europe,,2020,209169
Eastern and South-Eastern Asia,,2015,6610703
Eastern and South-Eastern Asia,,2016,261073
Eastern and South-Eastern Asia,,2017,1395043
Eastern and South-Eastern Asia,,2018,892341
Ecuador,ECU,2016,891574
Ecuador,ECU,2017,904248
Ecuador,ECU,2018,740644
Egypt,EGY,2016,99219
Egypt,EGY,2018,2485
El Salvador,SLV,2018,13670
Estonia,EST,2017,1058452
Ethiopia,ETH,2018,2485
Europe,,2016,857093
Europe,,2017,108985
Europe,,2018,336883
Europe,,2019,273498
Europe,,2020,624
Europe and Northern America,,2015,18270
Europe and Northern America,,2016,219426
Europe and Northern America,,2017,207365
Europe and Northern America,,2018,141590
Europe and Northern America,,2019,14069
Europe and Northern America,,2020,1873
Fiji,FJI,2017,134314
Fiji,FJI,2018,815795
Finland,FIN,2017,21726
Finland,FIN,2018,165213
France,FRA,2015,6693829
France,FRA,2016,4550833
France,FRA,2017,190684
France,FRA,2018,1066566
France,FRA,2019,1329666
France,FRA,2020,604617
French Polynesia,PYF,2015,1117647
Georgia,GEO,2019,986890
Georgia,GEO,2020,10828452
Germany,DEU,2015,101061
Germany,DEU,2016,2106574
Germany,DEU,2017,43348
Germany,DEU,2018,386139
Germany,DEU,2019,16956
Ghana,GHA,2016,33579283
Ghana,GHA,2017,56875108
Ghana,GHA,2019,179760103
Ghana,GHA,2020,152134672
Greece,GRC,2015,2866051
Greece,GRC,2016,1806335
Greece,GRC,2017,1039325
Greece,GRC,2018,1432935
Greece,GRC,2019,15158
Greece,GRC,2020,72014
Grenada,GRD,2016,400159
Grenada,GRD,2017,592911
Grenada,GRD,2018,3625093
Guam,GUM,2015,295858
Guam,GUM,2016,1880771
Guam,GUM,2017,1297635
Guam,GUM,2018,72532
Guatemala,GTM,2016,4017753
Guatemala,GTM,2017,10803670
Guatemala,GTM,2018,250689
Guernsey,GGY,2016,539843
Guernsey,GGY,2017,2382398
Guernsey,GGY,2018,2032941
Guyana,GUY,2016,2985316
Guyana,GUY,2017,1557775
Guyana,GUY,2018,4524475
Iceland,ISL,2018,475911
India,IND,2016,883222
India,IND,2017,916969
India,IND,2018,172809
Indonesia,IDN,2016,2090664
Indonesia,IDN,2017,1539911
Indonesia,IDN,2018,508551
Ireland,IRL,2015,16667
Ireland,IRL,2016,123359
Ireland,IRL,2017,293877
Ireland,IRL,2018,23512
Ireland,IRL,2019,440
Isle of Man,IMN,2016,6200249
Israel,ISR,2015,221205
Israel,ISR,2018,4473264
Italy,ITA,2015,9195292
Italy,ITA,2016,7008116
Italy,ITA,2017,2331030
Italy,ITA,2018,697753
Italy,ITA,2019,211601
Jamaica,JAM,2016,4508765
Jamaica,JAM,2017,4294002
Jamaica,JAM,2018,2404118
Japan,JPN,2015,619750
Japan,JPN,2016,1959469
Japan,JPN,2017,1781297
Japan,JPN,2018,468998
Jersey,JEY,2018,140588
Kazakhstan,KAZ,2015,11449
Kenya,KEN,2016,3204445
Kenya,KEN,2017,2048480
Kenya,KEN,2018,171116
Kenya,KEN,2020,35808
Kiribati,KIR,2016,2485
Kuwait,KWT,2016,1002
Kuwait,KWT,2017,27233
Kuwait,KWT,2018,44437
Latin America and the Caribbean,,2015,311140
Latin America and the Caribbean,,2016,1953360
Latin America and the Caribbean,,2017,1374410
Latin America and the Caribbean,,2018,1262079
Latin America and the Caribbean,,2019,187
Lebanon,LBN,2019,2374286
Luxembourg,LUX,2019,476000
Madagascar,MDG,2015,5741935
Malawi,MWI,2016,334
Malawi,MWI,2017,31323913
Malawi,MWI,2018,23313061
Malaysia,MYS,2016,488504
Malaysia,MYS,2017,475828
Malaysia,MYS,2018,285621
Maldives,MDV,2016,3270
Maldives,MDV,2017,735635
Maldives,MDV,2018,1263127
Malta,MLT,2015,1205128
Malta,MLT,2018,5261
Marshall Islands,MHL,2016,13321307
Marshall Islands,MHL,2017,1396071
Mauritius,MUS,2015,1696629
Mauritius,MUS,2016,1476694
Mauritius,MUS,2017,2440870
Mauritius,MUS,2018,1337026
Mexico,MEX,2015,195336
Mexico,MEX,2016,4007696
Mexico,MEX,2017,783885
Mexico,MEX,2018,1057973
Micronesia (country),FSM,2015,89756
Micronesia (country),FSM,2016,752117
Micronesia (country),FSM,2017,847000
Micronesia (country),FSM,2018,162398
Montenegro,MNE,2019,1314961
Morocco,MAR,2015,13884817
Morocco,MAR,2016,603883
Morocco,MAR,2017,58923
Morocco,MAR,2018,724928
Morocco,MAR,2019,600490
Mozambique,MOZ,2016,2018795
Mozambique,MOZ,2017,637234
Mozambique,MOZ,2018,611045
Myanmar,MMR,2016,638003
Namibia,NAM,2016,186411
Netherlands,NLD,2015,3870849
Netherlands,NLD,2016,45603
Netherlands,NLD,2017,52217
Netherlands,NLD,2018,103847
Netherlands,NLD,2019,7550
New Caledonia,NCL,2015,2433702
New Zealand,NZL,2016,281449
New Zealand,NZL,2017,24073
New Zealand,NZL,2018,281211
Nicaragua,NIC,2016,3262958
Nicaragua,NIC,2017,1896642
Nicaragua,NIC,2018,621668
Nigeria,NGA,2017,1981343
Nigeria,NGA,2018,8166746
Northern Africa and Western Asia,,2016,1409846
Northern Africa and Western Asia,,2018,669269
Northern Africa and Western Asia,,2019,72449
Northern Africa and Western Asia,,2020,139985
Northern America,,2015,7707
Northern America,,2016,203368
Northern America,,2017,222444
Northern America,,2018,135227
Northern America,,2019,1340
Northern America,,2020,2076
Northern Europe,,2015,155329
Northern Europe,,2016,911061
Northern Europe,,2017,383594
Northern Europe,,2018,230476
Northern Europe,,2019,13194
Northern Europe,,2020,1797
Northern Mariana Islands,MNP,2015,87697
Northern Mariana Islands,MNP,2016,234068
Northern Mariana Islands,MNP,2017,161545
Northern Mariana Islands,MNP,2018,174240
Norway,NOR,2015,325770
Norway,NOR,2016,277099
Norway,NOR,2017,284725
Norway,NOR,2018,94811
Oceania,,2015,313733
Oceania,,2016,111527
Oceania,,2017,352339
Oceania,,2018,184919
Oman,OMN,2018,2457134
Pakistan,PAK,2017,5538922
Palau,PLW,2016,428991
Palau,PLW,2017,509132
Panama,PAN,2016,1446132
Panama,PAN,2017,636943
Panama,PAN,2018,5295090
Paraguay,PRY,2016,1062838
Peru,PER,2016,4051824
Peru,PER,2017,15390297
Peru,PER,2018,4107201
Philippines,PHL,2016,1023702
Philippines,PHL,2017,3174985
Philippines,PHL,2018,4227161
Poland,POL,2016,850500
Poland,POL,2017,207789
Poland,POL,2018,732812
Polynesia,OWID_PYA,2015,1117647
Polynesia,OWID_PYA,2016,2089778
Polynesia,OWID_PYA,2018,2434888
Portugal,PRT,2015,3096130
Portugal,PRT,2016,1237300
Portugal,PRT,2017,257362
Portugal,PRT,2018,1537330
Portugal,PRT,2019,160506
Portugal,PRT,2020,10294
Puerto Rico,PRI,2016,1129753
Puerto Rico,PRI,2017,965147
Puerto Rico,PRI,2018,684838
Qatar,QAT,2016,623371
Qatar,QAT,2017,766972
Qatar,QAT,2018,464191
Reunion,REU,2015,2083333
Romania,ROU,2015,146057
Romania,ROU,2016,2776233
Romania,ROU,2017,13410072
Romania,ROU,2018,719425
Russia,RUS,2016,555747
Russia,RUS,2017,2801281
Russia,RUS,2018,374226
Russia,RUS,2019,42530
Russia,RUS,2020,681338
Saint Barthlemy,,2017,805408
Saint Helena,SHN,2018,8249464
Saint Kitts and Nevis,KNA,2016,991240
Saint Kitts and Nevis,KNA,2017,601484
Saint Kitts and Nevis,KNA,2018,1538667
Saint Lucia,LCA,2017,1163493
Saint Lucia,LCA,2018,1982561
Saint Martin (French part),MAF,2016,916833
Saint Vincent and the Grenadines,VCT,2016,1498550
Saint Vincent and the Grenadines,VCT,2017,130706
Saint Vincent and the Grenadines,VCT,2018,4061116
Samoa,WSM,2016,2089778
Samoa,WSM,2018,2434888
Sao Tome and Principe,STP,2016,53107
Senegal,SEN,2017,100
Senegal,SEN,2018,230851
Serbia,SRB,2016,13151163
Seychelles,SYC,2017,86703383
Seychelles,SYC,2018,35040
Sierra Leone,SLE,2018,621
Singapore,SGP,2016,7581521
Singapore,SGP,2017,3229485
Singapore,SGP,2018,5545935
Sint Maarten (Dutch part),SXM,2018,544323
Slovenia,SVN,2016,1833146
Slovenia,SVN,2017,1491842
Slovenia,SVN,2018,3883
South Africa,ZAF,2015,1059365
South Africa,ZAF,2016,644019
South Africa,ZAF,2017,243076
South Africa,ZAF,2018,595450
South Africa,ZAF,2019,304
South America,,2015,4842535
South America,,2016,1428214
South America,,2017,1366327
South America,,2018,1012389
South America,,2019,315
South Korea,KOR,2016,1651100
South Korea,KOR,2017,958235
South Korea,KOR,2018,720163
South-eastern Asia,,2016,1541996
South-eastern Asia,,2017,2547487
South-eastern Asia,,2018,1138343
Southern Africa,,2015,1059365
Southern Africa,,2016,635732
Southern Africa,,2017,243076
Southern Africa,,2018,595450
Southern Africa,,2019,304
Southern Asia,,2016,1271339
Southern Asia,,2017,1340241
Southern Asia,,2018,521671
Southern Europe,,2015,2973494
Southern Europe,,2016,3317796
Southern Europe,,2017,971549
Southern Europe,,2018,1330661
Southern Europe,,2019,268166
Southern Europe,,2020,9295
Spain,ESP,2015,1531321
Spain,ESP,2016,4088206
Spain,ESP,2017,2193543
Spain,ESP,2018,1436452
Spain,ESP,2019,1257716
Spain,ESP,2020,246332
Sri Lanka,LKA,2016,3303722
Sri Lanka,LKA,2017,3502184
Sri Lanka,LKA,2018,1673198
Suriname,SUR,2017,580801
Suriname,SUR,2018,659674
Sweden,SWE,2015,7624
Sweden,SWE,2016,22391
Sweden,SWE,2017,17226
Sweden,SWE,2018,6489
Switzerland,CHE,2015,5934498
Switzerland,CHE,2017,1317600
Switzerland,CHE,2018,123206
Tanzania,TZA,2016,41173753
Tanzania,TZA,2017,14546454
Tanzania,TZA,2018,88635
Thailand,THA,2016,447946
Thailand,THA,2017,519666
Thailand,THA,2018,804727
Timor,TLS,2016,172592
Tonga,TON,2017,630051
Trinidad and Tobago,TTO,2016,1517814
Trinidad and Tobago,TTO,2017,2355550
Trinidad and Tobago,TTO,2018,3285571
Tunisia,TUN,2019,1040778
Turkey,TUR,2016,2511675
Turkey,TUR,2017,5753343
Turkey,TUR,2018,451999
Turkey,TUR,2019,183296
Turkey,TUR,2020,12194
Ukraine,UKR,2017,11372
Ukraine,UKR,2018,1229709
Ukraine,UKR,2020,1421200
United Arab Emirates,ARE,2016,1807540
United Arab Emirates,ARE,2017,9460278
United Arab Emirates,ARE,2018,716678
United Kingdom,GBR,2015,954398
United Kingdom,GBR,2016,1180157
United Kingdom,GBR,2017,505209
United Kingdom,GBR,2018,1151873
United Kingdom,GBR,2019,26712
United States,USA,2015,7717
United States,USA,2016,203851
United States,USA,2017,214112
United States,USA,2018,119956
United States,USA,2019,1510
United States,USA,2020,2114
United States Virgin Islands,VIR,2015,48352
United States Virgin Islands,VIR,2016,1042555
United States Virgin Islands,VIR,2017,864228
United States Virgin Islands,VIR,2018,453534
Uruguay,URY,2016,560363
Uruguay,URY,2017,483382
Uruguay,URY,2018,244069
Vanuatu,VUT,2016,535071
Vanuatu,VUT,2017,684594
Vanuatu,VUT,2018,696651
Venezuela,VEN,2016,1614656
Venezuela,VEN,2017,2192921
Venezuela,VEN,2018,2108750
Vietnam,VNM,2016,3446296
Vietnam,VNM,2017,2302819
Vietnam,VNM,2018,3492480
Western Asia,,2019,61578
Western Asia,,2020,145819
Western Europe,,2015,2894106
Western Europe,,2016,306430
Western Europe,,2017,97086
Western Europe,,2018,240520
Western Europe,,2019,615625
Western Europe,,2020,143
World,OWID_WRL,2015,19618
World,OWID_WRL,2016,405646
World,OWID_WRL,2017,468426
World,OWID_WRL,2018,1347138
World,OWID_WRL,2019,10313
World,OWID_WRL,2020,1248
