indicator,PR unemployment,USVI unemployment
7/1/1982,23.2,8.1
8/1/1982,23.1,7.6
9/1/1982,23,8.2
10/1/1982,23.1,8.1
11/1/1982,23.3,7.8
12/1/1982,23.6,8.5
1/1/1983,23.9,9
2/1/1983,24,9.7
3/1/1983,23.8,9.2
4/1/1983,23.7,8.6
5/1/1983,23.6,8.5
6/1/1983,23.6,8.7
7/1/1983,23.6,8.2
8/1/1983,23.5,8
9/1/1983,23.3,7.8
10/1/1983,22.9,7.3
11/1/1983,22.5,6.6
12/1/1983,22.1,6.8
1/1/1984,21.7,6.9
2/1/1984,21.3,6.5
3/1/1984,21,5.9
4/1/1984,20.8,6.9
5/1/1984,20.6,8.1
6/1/1984,20.6,8.7
7/1/1984,20.5,8.5
8/1/1984,20.4,8.3
9/1/1984,20.3,8.6
10/1/1984,20.2,8.2
11/1/1984,20.3,7.4
12/1/1984,20.6,6.6
1/1/1985,21.1,6.9
2/1/1985,21.7,6.2
3/1/1985,22.3,6
4/1/1985,22.6,5.9
5/1/1985,22.7,6
6/1/1985,22.5,6.5
7/1/1985,22.1,6.1
8/1/1985,21.7,5.9
9/1/1985,21.3,6.1
10/1/1985,21,6
11/1/1985,20.7,5.7
12/1/1985,20.5,5
1/1/1986,20.3,5
2/1/1986,20.1,4.8
3/1/1986,20,5.3
4/1/1986,19.8,5.2
5/1/1986,19.5,4.9
6/1/1986,19.1,5.3
7/1/1986,18.6,4.9
8/1/1986,18.2,4.6
9/1/1986,18,4.4
10/1/1986,17.8,4.6
11/1/1986,17.7,4.1
12/1/1986,17.8,3.7
1/1/1987,17.8,3.6
2/1/1987,17.7,3.6
3/1/1987,17.6,3.2
4/1/1987,17.4,3.2
5/1/1987,17.1,3
6/1/1987,16.8,3.3
7/1/1987,16.5,3.2
8/1/1987,16.2,3
9/1/1987,16.1,2.9
10/1/1987,16.1,2.5
11/1/1987,16.1,2.6
12/1/1987,16.2,2.3
1/1/1988,16.1,2.7
2/1/1988,16,2.4
3/1/1988,15.8,2.5
4/1/1988,15.4,2.7
5/1/1988,15.1,3.8
6/1/1988,14.9,4.3
7/1/1988,14.7,4.2
8/1/1988,14.5,3.6
9/1/1988,14.4,3.9
10/1/1988,14.4,3.5
11/1/1988,14.4,2.8
12/1/1988,14.4,2.8
1/1/1989,14.4,2.8
2/1/1989,14.4,2.8
3/1/1989,14.4,2.5
4/1/1989,14.4,2.9
5/1/1989,14.5,2.9
6/1/1989,14.7,3.4
7/1/1989,14.8,3.1
8/1/1989,14.9,2.9
9/1/1989,14.9,3.2
10/1/1989,14.8,7.5
11/1/1989,14.6,6
12/1/1989,14.4,4.6
1/1/1990,14.3,4.1
2/1/1990,14.3,3.3
3/1/1990,14.2,3.1
4/1/1990,14.2,2.6
5/1/1990,14.1,2.8
6/1/1990,14.1,2.7
7/1/1990,14.1,2.6
8/1/1990,14.2,2.6
9/1/1990,14.4,2.6
10/1/1990,14.6,2.4
11/1/1990,14.9,2.1
12/1/1990,15.1,2
1/1/1991,15.4,2
2/1/1991,15.6,2.5
3/1/1991,15.8,2.4
4/1/1991,16,2.6
5/1/1991,16,2.5
6/1/1991,16,3.3
7/1/1991,15.9,3.4
8/1/1991,15.9,2.8
9/1/1991,16,2.9
10/1/1991,16.2,3
11/1/1991,16.5,3.3
12/1/1991,16.8,3
1/1/1992,17,3.5
2/1/1992,17.1,3.4
3/1/1992,17.1,3.3
4/1/1992,16.9,3.3
5/1/1992,16.8,3.3
6/1/1992,16.7,3.5
7/1/1992,16.6,3.5
8/1/1992,16.5,3.8
9/1/1992,16.4,4
10/1/1992,16.3,3.7
11/1/1992,16.4,3.3
12/1/1992,16.6,3
1/1/1993,16.8,3.1
2/1/1993,17.1,2.8
3/1/1993,17.2,2.8
4/1/1993,17.3,2.7
5/1/1993,17.3,3.1
6/1/1993,17.3,3.2
7/1/1993,17.2,3.3
8/1/1993,17.1,3.5
9/1/1993,17,3.5
10/1/1993,16.8,4.3
11/1/1993,16.6,4.9
12/1/1993,16.3,4.9
1/1/1994,15.9,5.7
2/1/1994,15.6,6.1
3/1/1994,15.2,6.2
4/1/1994,14.8,5.8
5/1/1994,14.5,6.2
6/1/1994,14.3,6
7/1/1994,14.2,5.7
8/1/1994,14.2,5.6
9/1/1994,14.1,5.4
10/1/1994,14,5.3
11/1/1994,13.8,4.9
12/1/1994,13.7,4.6
1/1/1995,13.6,5
2/1/1995,13.5,4.8
3/1/1995,13.5,4.8
4/1/1995,13.6,4.9
5/1/1995,13.7,5
6/1/1995,13.8,5.3
7/1/1995,13.9,5
8/1/1995,13.9,5
9/1/1995,13.9,4.2
10/1/1995,13.8,9.4
11/1/1995,13.7,8.1
12/1/1995,13.5,7.5
1/1/1996,13.3,7.1
2/1/1996,13.4,6
3/1/1996,13.6,6.2
4/1/1996,13.9,5.1
5/1/1996,14.2,4.9
6/1/1996,14.4,4.7
7/1/1996,14.3,4.7
8/1/1996,13.9,4.7
9/1/1996,13.3,4.8
10/1/1996,12.7,4.9
11/1/1996,12.2,4.8
12/1/1996,12.1,4.8
1/1/1997,12.2,5.2
2/1/1997,12.6,5.2
3/1/1997,13.1,5.4
4/1/1997,13.6,5.7
5/1/1997,13.8,5.8
6/1/1997,13.9,5.9
7/1/1997,13.8,5.9
8/1/1997,13.6,6.1
9/1/1997,13.6,6.2
10/1/1997,13.6,6.3
11/1/1997,13.7,6.4
12/1/1997,13.9,6.1
1/1/1998,13.9,6.3
2/1/1998,13.9,6.2
3/1/1998,13.7,6.1
4/1/1998,13.5,6.2
5/1/1998,13.3,6.4
6/1/1998,13.2,6.3
7/1/1998,13.2,6.4
8/1/1998,13.2,6.6
9/1/1998,13.1,6.6
10/1/1998,13,7
11/1/1998,12.9,6.7
12/1/1998,12.8,6.6
1/1/1999,12.6,6.7
2/1/1999,12.3,6.7
3/1/1999,12,6.7
4/1/1999,11.6,6.8
5/1/1999,11.3,7
6/1/1999,11.2,7.2
7/1/1999,11.2,7
8/1/1999,11.4,7.2
9/1/1999,11.6,7.4
10/1/1999,11.8,7.5
11/1/1999,11.8,7.2
12/1/1999,11.6,7
1/1/2000,11.2,6.9
2/1/2000,10.8,6.7
3/1/2000,10.5,6.6
4/1/2000,10.3,6.4
5/1/2000,10.1,6.5
6/1/2000,10,6.6
7/1/2000,9.9,6.8
8/1/2000,9.8,6.8
9/1/2000,9.7,7.1
10/1/2000,9.7,7.2
11/1/2000,9.8,6.9
12/1/2000,10,6.7
1/1/2001,10.4,6.6
2/1/2001,10.8,6.5
3/1/2001,11.1,6.4
4/1/2001,11.2,6.6
5/1/2001,11.3,6.7
6/1/2001,11.4,6.8
7/1/2001,11.6,6.9
8/1/2001,11.7,7
9/1/2001,11.8,7.4
10/1/2001,11.8,8.6
11/1/2001,11.6,8
12/1/2001,11.4,7.7
1/1/2002,11.2,8
2/1/2002,13.4,7.7
3/1/2002,12.8,7.8
4/1/2002,12.5,7.9
5/1/2002,12.4,8.3
6/1/2002,12.4,8.6
7/1/2002,12.4,9
8/1/2002,12.3,9.4
9/1/2002,12.1,9.6
10/1/2002,11.9,9.7
11/1/2002,11.7,9.6
12/1/2002,11.7,9.4
1/1/2003,11.9,9.6
2/1/2003,12.1,9.7
3/1/2003,12.3,9.7
4/1/2003,12.4,9.6
5/1/2003,12.4,9.5
6/1/2003,12.2,9.5
7/1/2003,12.1,9.5
8/1/2003,11.9,9.3
9/1/2003,11.8,9.3
10/1/2003,11.6,9.1
11/1/2003,11.5,8.8
12/1/2003,11.4,8.6
1/1/2004,11.4,8.2
2/1/2004,11.3,8
3/1/2004,11.2,7.9
4/1/2004,11,7.8
5/1/2004,10.8,8.2
6/1/2004,10.5,8.3
7/1/2004,10.2,8.2
8/1/2004,10,7.8
9/1/2004,10,8
10/1/2004,10,7.9
11/1/2004,10.2,7.6
12/1/2004,10.4,7.2
1/1/2005,10.6,7.1
2/1/2005,10.9,6.7
3/1/2005,11.2,7.1
4/1/2005,11.3,7.2
5/1/2005,11.3,7.8
6/1/2005,11.2,7.3
7/1/2005,11.2,6.7
8/1/2005,11.3,7.1
9/1/2005,11.5,7.4
10/1/2005,11.7,7.2
11/1/2005,11.6,6.7
12/1/2005,11.4,6.3
1/1/2006,11,6.2
2/1/2006,10.6,6
3/1/2006,10.4,6.1
4/1/2006,10.5,5.8
5/1/2006,10.7,6.1
6/1/2006,10.9,6.4
7/1/2006,11,6.2
8/1/2006,10.8,6.4
9/1/2006,10.5,6.4
10/1/2006,10.3,6.4
11/1/2006,10.2,6.1
12/1/2006,10.2,5.9
1/1/2007,10.3,5.8
2/1/2007,10.4,5.9
3/1/2007,10.6,5.8
4/1/2007,10.9,6
5/1/2007,11.1,5.8
6/1/2007,11.3,5.6
7/1/2007,11.5,6.2
8/1/2007,11.7,6
9/1/2007,11.7,6
10/1/2007,11.7,6.1
11/1/2007,11.5,6
12/1/2007,11.2,6
1/1/2008,10.9,5.9
2/1/2008,10.7,5.8
3/1/2008,10.6,5.7
4/1/2008,10.8,5.7
5/1/2008,11.1,5.8
6/1/2008,11.5,5.6
7/1/2008,11.9,5.5
8/1/2008,12.2,5.6
9/1/2008,12.5,5.9
10/1/2008,12.7,6
11/1/2008,13.1,6
12/1/2008,13.5,6
1/1/2009,14,6.3
2/1/2009,14.4,6.4
3/1/2009,14.7,6.7
4/1/2009,15,7
5/1/2009,15.3,7.5
6/1/2009,15.6,7.9
7/1/2009,15.8,8.1
8/1/2009,15.9,8.2
9/1/2009,16,8.5
10/1/2009,16,8.5
11/1/2009,15.9,8
12/1/2009,15.9,7.9
1/1/2010,16,8
2/1/2010,16.3,7.8
3/1/2010,16.6,8
4/1/2010,16.9,7.9
5/1/2010,17,7.9
6/1/2010,16.9,8.1
7/1/2010,16.6,8
8/1/2010,16.3,8.2
9/1/2010,16,8.3
10/1/2010,15.8,8.4
11/1/2010,15.8,8.1
12/1/2010,16,8.5
1/1/2011,16.2,8.7
2/1/2011,16.4,8.4
3/1/2011,16.5,8.3
4/1/2011,16.5,8.9
5/1/2011,16.3,9.3
6/1/2011,16.1,9.2
7/1/2011,15.9,9.1
8/1/2011,15.7,9.3
9/1/2011,15.6,9.5
10/1/2011,15.5,9.7
11/1/2011,15.5,8.3
12/1/2011,15.4,8.4
1/1/2012,15.3,8.7
2/1/2012,15.1,8.8
3/1/2012,14.9,9
4/1/2012,14.7,9.3
5/1/2012,14.5,12.2
6/1/2012,14.2,12.9
7/1/2012,14.1,13.2
8/1/2012,14,13.2
9/1/2012,14,13.6
10/1/2012,14.2,13.5
11/1/2012,14.3,13
12/1/2012,14.3,13.3
1/1/2013,14.2,13.7
2/1/2013,14.1,13.1
3/1/2013,13.8,13.3
4/1/2013,13.7,13.2
5/1/2013,13.7,13.2
6/1/2013,13.8,13.3
7/1/2013,14,13.3
8/1/2013,14.3,13.5
9/1/2013,14.5,13.9
10/1/2013,14.8,13.7
11/1/2013,14.9,13
12/1/2013,15,13
1/1/2014,14.9,13
2/1/2014,14.6,12.8
3/1/2014,14.2,12.8
4/1/2014,13.8,13
5/1/2014,13.6,13
6/1/2014,13.6,13.1
7/1/2014,13.8,13
8/1/2014,14,13.4
9/1/2014,14,13.2
10/1/2014,13.7,13.1
11/1/2014,13.2,12.8
12/1/2014,12.6,12.3
1/1/2015,12.2,12.1
2/1/2015,12,11.8
3/1/2015,12.1,11.8
4/1/2015,12.1,11.9
5/1/2015,12.1,12.2
6/1/2015,12.1,12.1
7/1/2015,12.1,11.8
8/1/2015,12.1,12.2
9/1/2015,12,12.1
10/1/2015,12,11.9
11/1/2015,12,11.4
12/1/2015,11.9,11.3
1/1/2016,11.7,11.6
2/1/2016,11.6,11.3
3/1/2016,11.5,11.2
4/1/2016,11.5,11.1
5/1/2016,11.6,10.9
6/1/2016,11.6,11
7/1/2016,11.7,9.9
8/1/2016,11.8,11.3
9/1/2016,12,11.5
10/1/2016,12.1,11.4
11/1/2016,12,10.9
12/1/2016,11.9,10.7
1/1/2017,11.8,11.1
2/1/2017,11.5,10.5
3/1/2017,11.2,10.4
4/1/2017,10.9,10.3
5/1/2017,10.6,10.2
6/1/2017,10.4,10.6
7/1/2017,10.4,10
8/1/2017,10.5,10.1
9/1/2017,10.7,14.3
10/1/2017,11.3,17
11/1/2017,10.9,15.4
12/1/2017,10.7,13.9
1/1/2018,10.4,10.7
2/1/2018,10.2,9.5
3/1/2018,9.9,9.5
4/1/2018,9.7,9.2
5/1/2018,9.5,9.2
6/1/2018,9.2,9.5
7/1/2018,9,9.2
8/1/2018,8.7,7.6
9/1/2018,8.5,7.3
10/1/2018,8.3,7.2
11/1/2018,8.3,5.9
12/1/2018,8.4,6.3
1/1/2019,8.6,7.3
2/1/2019,8.7,6.6
3/1/2019,8.6,6.7
4/1/2019,8.4,6.1
5/1/2019,8.1,5.7
6/1/2019,7.7,6.4
7/1/2019,7.6,6.4
8/1/2019,7.7,6
9/1/2019,8,5.9
10/1/2019,8.4,5.7
11/1/2019,8.7,5.3
12/1/2019,9,5.2
1/1/2020,9.1,4.9
2/1/2020,9.1,4.5
3/1/2020,.,4.8
4/1/2020,.,11.4
5/1/2020,8.9,13.6
6/1/2020,8.3,13.5
7/1/2020,8.2,12.5
8/1/2020,8.3,12.2
9/1/2020,8.6,12.7
10/1/2020,9,11.2
11/1/2020,9.3,10.6
12/1/2020,9.3,8.8
1/1/2021,9,9
2/1/2021,8.5,8.6
3/1/2021,8.2,8.5
4/1/2021,8.1,8
5/1/2021,8.1,8.4
6/1/2021,8.3,9.2
7/1/2021,8.4,9.6
8/1/2021,8.3,9.7
9/1/2021,7.9,9.2
10/1/2021,7.5,8.9
11/1/2021,7,8.6
12/1/2021,6.7,7.9
1/1/2022,6.5,8.4
2/1/2022,6.3,7.8
3/1/2022,6.2,7.4
4/1/2022,6,6.8
5/1/2022,5.9,6.6
6/1/2022,5.8,6.6
7/1/2022,5.8,6.1
8/1/2022,5.8,5.7
9/1/2022,5.9,5.4
10/1/2022,6,4.9
11/1/2022,6,4.7
12/1/2022,6,4.2
1/1/2023,6,3.6
2/1/2023,6,3.5
3/1/2023,6,3.4
4/1/2023,6,3.2
5/1/2023,6.1,3.4
6/1/2023,6.1,3.9
7/1/2023,6.2,3.7
8/1/2023,6.2,3.4
9/1/2023,6,3.5
10/1/2023,5.8,3.4
11/1/2023,5.7,3.3
12/1/2023,5.7,2.9
