Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2022,6,6,3:34:53,18.6108,-65.2933,31,3.5,"34 km N of Culebra, Puerto Rico",1654486493
2022,5,30,6:41:03,18.7215,-66.9821,62,3.7,"24 km N of Isabela, Puerto Rico",1653892863
2022,5,23,21:19:15,18.4278,-66.1793,114,3.6,"0 km E of Sabana Seca, Puerto Rico",1653340755
2022,5,20,9:40:10,17.9153,-66.8736,13,3.7,"7 km SSE of Maria Antonia, Puerto Rico",1653039610
2022,5,11,7:12:34,17.9928,-65.3738,7,3.7,"15 km SE of Esperanza, Puerto Rico",1652253154
2022,5,1,4:39:41,18.4685,-66.2201,97,3.8,Puerto Rico region,1651379981
2022,4,25,9:25:30,18.2758,-67.9808,107,4,"56 km SE of Punta Cana, Dominican Republic",1650878730
2022,4,13,10:17:02,18.6718,-66.224,100,3.6,"24 km N of Dorado, Puerto Rico",1649845022
2022,4,10,23:03:00,18.3901,-66.1493,112,3.6,"1 km SE of Bayamón, Puerto Rico",1649631780
2022,2,28,2:29:44,18.421,-64.5023,136,3.9,"32 km ENE of Cruz Bay, U.S. Virgin Islands",1646015384
2022,2,24,20:48:38,17.969,-66.7421,10,4.2,"3 km SW of Tallaboa, Puerto Rico",1645735718
2022,2,23,6:20:43,18.5885,-65.0681,63,3.5,"30 km NNW of Charlotte Amalie, U.S. Virgin Islands",1645597243
2022,2,11,14:29:58,18.6775,-64.7041,86,3.6,"39 km NNE of Cruz Bay, U.S. Virgin Islands",1644589798
2022,2,3,0:00:15,18.3765,-65.9075,36,3.6,"0 km W of Canovanas, Puerto Rico",1643846415
2022,1,30,15:41:02,17.9586,-66.9456,7,3.7,"4 km WSW of Guánica, Puerto Rico",1643557262
2022,1,29,3:56:13,18.2546,-67.9851,128,3.7,Mona Passage,1643428573
2022,1,24,0:53:15,18.6958,-67.5031,6,3.8,"47 km NW of Aguadilla, Puerto Rico",1642985595
2022,1,16,12:36:33,17.893,-65.7081,10,3.6,"21 km ESE of Emajagua, Puerto Rico",1642336593
2022,1,16,2:13:13,18.5125,-65.195,110,3.7,"25 km NNE of Culebra, Puerto Rico",1642299193
2022,1,11,23:53:00,18.3068,-65.109,104,3.6,"19 km WSW of Charlotte Amalie, U.S. Virgin Islands",1641945180
2021,12,18,4:41:21,18.3578,-66.1993,121,3.7,"2 km ESE of Pájaros, Puerto Rico",1639802481
2021,12,12,17:22:15,18.5831,-67.429,9,3.5,Mona Passage,1639329735
2021,12,10,1:25:34,17.9938,-66.8325,16,4.2,"1 km W of Indios, Puerto Rico",1639099534
2021,12,10,1:25:33,17.9791,-66.8364,18.7,4,"2 km SW of Indios, Puerto Rico",1639099533
2021,11,26,22:01:58,18.0215,-67.9641,38,3.6,"77 km SE of Punta Cana, Dominican Republic",1637964118
2021,11,8,18:23:19,18.2505,-67.8011,148,3.7,"59 km W of Rincón, Puerto Rico",1636395799
2021,10,30,15:28:08,18.1603,-67.3723,10,3.5,"21 km WNW of Puerto Real, Puerto Rico",1635607688
2021,10,8,20:22:31,18.0158,-65.3815,12,3.6,"13 km SE of Esperanza, Puerto Rico",1633724551
2021,10,8,18:28:23,18.0105,-65.3871,11,4.8,"13 km SE of Esperanza, Puerto Rico",1633717703
2021,10,8,18:28:22,17.951,-65.362,10,4.9,"19 km SE of Esperanza, Puerto Rico",1633717702
2021,9,20,21:58:25,17.9653,-66.849,11,3.8,"4 km SW of Indios, Puerto Rico",1632175105
2021,9,20,21:58:24,17.9475,-66.8418,20.5,3.9,"5 km SSW of Indios, Puerto Rico",1632175104
2021,8,25,0:45:19,17.8563,-66.8898,11,3.6,"12 km S of Guánica, Puerto Rico",1629852319
2021,8,25,0:45:18,17.8496,-66.8799,20.1,3.7,"13 km SSE of Guánica, Puerto Rico",1629852318
2021,8,22,7:45:42,18.4628,-66.2571,99,3.5,"1 km ENE of Dorado, Puerto Rico",1629618342
2021,8,15,3:39:50,17.8511,-66.886,7,4.1,"13 km S of Guánica, Puerto Rico",1628998790
2021,8,15,3:39:49,17.7739,-66.8554,10,4.1,Puerto Rico region,1628998789
2021,8,2,15:27:15,18.5051,-65.0086,111,3.8,"19 km NNW of Charlotte Amalie, U.S. Virgin Islands",1627918035
2021,7,28,18:41:43,18.5923,-66.392,109,3.5,"14 km NNW of Brenas, Puerto Rico",1627497703
2021,7,18,4:45:42,17.9553,-67.0951,11,4.3,"5 km WSW of La Parguera, Puerto Rico",1626583542
2021,7,18,4:45:40,17.8919,-67.1158,16.9,4.4,"11 km SW of La Parguera, Puerto Rico",1626583540
2021,7,18,4:42:58,17.8835,-67.1468,10,3.5,"10 km SSE of Pole Ojea, Puerto Rico",1626583378
2021,7,18,3:52:25,17.9443,-67.0966,11,4.5,"6 km WSW of La Parguera, Puerto Rico",1626580345
2021,7,18,3:52:25,17.935,-67.118,6.4,4.7,"8 km ESE of Pole Ojea, Puerto Rico",1626580345
2021,7,18,3:52:24,17.8751,-67.1315,9.8,4.3,"12 km SSE of Pole Ojea, Puerto Rico",1626580344
2021,7,18,3:50:03,17.9426,-67.1041,10,3.5,"7 km WSW of La Parguera, Puerto Rico",1626580203
2021,7,5,7:40:59,18.6241,-65.2246,27,3.5,"36 km NNE of Culebra, Puerto Rico",1625470859
2021,6,30,9:20:02,17.9441,-67.1,12,3.8,"6 km WSW of La Parguera, Puerto Rico",1625044802
2021,6,29,4:43:59,18.1998,-67.18,100,3.6,"4 km W of Mayagüez, Puerto Rico",1624941839
2021,6,27,15:18:12,17.9325,-67.0853,11,3.6,"6 km SW of La Parguera, Puerto Rico",1624807092
2021,6,27,15:18:11,17.8786,-67.1115,10,3.6,"12 km SSW of La Parguera, Puerto Rico",1624807091
2021,6,25,22:17:06,17.722,-67.1198,10,4,"28 km SSE of Pole Ojea, Puerto Rico",1624659426
2021,6,25,21:48:53,17.874,-67.0886,10,3.5,"12 km SSW of La Parguera, Puerto Rico",1624657733
2021,6,25,5:19:26,17.9506,-67.0793,11,3.6,"4 km SW of La Parguera, Puerto Rico",1624598366
2021,6,25,3:37:05,17.967,-67.0911,10,3.6,"4 km W of La Parguera, Puerto Rico",1624592225
2021,6,25,3:37:03,17.819,-67.0955,10,3.6,"18 km SSW of La Parguera, Puerto Rico",1624592223
2021,6,25,1:08:55,17.9266,-67.1121,11,3.7,"8 km SW of La Parguera, Puerto Rico",1624583335
2021,6,25,1:08:54,17.9254,-67.1141,15.9,3.8,"9 km SW of La Parguera, Puerto Rico",1624583334
2021,6,24,20:42:36,17.9456,-67.0958,11,3.6,Puerto Rico region,1624567356
2021,6,24,20:10:57,17.92,-67.1186,11,4.3,"9 km SE of Pole Ojea, Puerto Rico",1624565457
2021,6,24,20:10:57,17.8882,-67.0545,12.3,4.3,"9 km S of La Parguera, Puerto Rico",1624565457
2021,6,24,16:30:28,17.944,-67.1075,11,3.7,"7 km WSW of La Parguera, Puerto Rico",1624552228
2021,6,24,16:30:28,17.9326,-67.1121,10,3.8,"8 km SW of La Parguera, Puerto Rico",1624552228
2021,6,24,16:28:21,17.9331,-67.1175,11,3.6,"8 km ESE of Pole Ojea, Puerto Rico",1624552101
2021,6,23,0:48:32,18.548,-66.786,85,3.5,"7 km N of Carrizales, Puerto Rico",1624409312
2021,6,15,5:33:59,17.8698,-66.8651,6,3.6,"12 km SSE of Guánica, Puerto Rico",1623735239
2021,6,6,1:47:54,18.0623,-64.6268,53,3.6,"34 km SSE of Cruz Bay, U.S. Virgin Islands",1622944074
2021,5,31,5:18:39,18.0155,-66.741,15,4.2,"2 km E of Magas Arriba, Puerto Rico",1622438319
2021,5,31,5:18:38,18.0056,-66.7379,19.4,4.2,"2 km WNW of Tallaboa, Puerto Rico",1622438318
2021,5,28,12:54:48,18.2293,-67.177,92,3.5,"5 km NW of Mayagüez, Puerto Rico",1622206488
2021,5,27,23:30:31,18.5296,-67.7435,99,3.9,"56 km WNW of Rincón, Puerto Rico",1622158231
2021,5,12,20:23:01,17.9523,-67.01,9,3.8,"4 km ESE of La Parguera, Puerto Rico",1620850981
2021,5,12,20:23:00,17.9137,-66.9945,10,3.9,"8 km SE of La Parguera, Puerto Rico",1620850980
2021,5,12,1:09:02,17.9506,-67.0006,9,3.6,"5 km ESE of La Parguera, Puerto Rico",1620781742
2021,5,6,13:08:57,17.9493,-67.0056,9,3.8,"5 km ESE of La Parguera, Puerto Rico",1620306537
2021,5,6,13:08:56,17.9548,-67.004,10,3.8,"5 km ESE of La Parguera, Puerto Rico",1620306536
2021,4,22,17:01:02,17.96,-67.0041,8,3.7,"4 km ESE of La Parguera, Puerto Rico",1619110862
2021,4,20,12:22:20,17.9518,-66.999,8,3.6,Puerto Rico region,1618921340
2021,4,12,22:19:24,18.6713,-67.5841,4,3.6,"50 km NW of Rincón, Puerto Rico",1618265964
2021,4,12,22:19:23,18.5965,-67.5866,29.2,3.8,"45 km NW of Rincón, Puerto Rico",1618265963
2021,3,30,1:07:24,18.0291,-65.5293,5,3.7,"9 km SW of Esperanza, Puerto Rico",1617066444
2021,3,30,1:07:23,17.9922,-65.5565,22.4,3.8,"14 km SW of Esperanza, Puerto Rico",1617066443
2021,3,23,16:17:32,17.992,-66.9745,41,3.5,"6 km W of Fuig, Puerto Rico",1616516252
2021,3,19,19:37:15,18.6346,-66.7638,109,3.6,"17 km N of Carrizales, Puerto Rico",1616182635
2021,2,18,6:09:41,18.3288,-68,170,3.9,"51 km ESE of Punta Cana, Dominican Republic",1613628581
2021,2,12,10:05:42,17.9925,-67.004,7,3.6,"4 km ENE of La Parguera, Puerto Rico",1613124342
2021,2,9,10:24:49,18.4211,-67.4103,18,3.6,"19 km WNW of Rincón, Puerto Rico",1612866289
2021,1,21,18:04:06,18.4976,-67.5925,104,3.9,"40 km WNW of Rincón, Puerto Rico",1611252246
2021,1,12,22:57:11,18.6593,-65.2973,68,3.8,"39 km N of Culebra, Puerto Rico",1610492231
2021,1,10,10:43:40,17.9386,-66.9436,5,3.5,"5 km SW of Guánica, Puerto Rico",1610275420
2021,1,10,10:43:40,17.9396,-66.9459,10.5,3.6,"5 km SW of Guánica, Puerto Rico",1610275420
2021,1,4,19:08:27,17.9431,-66.8076,10,3.8,"5 km SSE of Indios, Puerto Rico",1609787307
2021,1,4,18:58:00,17.9333,-66.8098,8,3.5,"6 km S of Indios, Puerto Rico",1609786680
2021,1,1,10:57:28,17.9591,-66.908,9,3.5,"1 km S of Guánica, Puerto Rico",1609498648
2021,1,1,10:57:28,17.9501,-66.9085,10,3.6,"2 km S of Guánica, Puerto Rico",1609498648
2020,12,27,16:22:02,17.9048,-66.8451,12,3.7,"9 km SSE of Maria Antonia, Puerto Rico",1609086122
2020,12,26,18:30:59,18.0338,-67.8951,107,3.6,"75 km W of Puerto Real, Puerto Rico",1609007459
2020,12,24,18:12:01,17.9333,-66.8473,14,4.1,"6 km SE of Maria Antonia, Puerto Rico",1608833521
2020,12,24,17:33:47,17.9461,-66.8385,9,4.7,"5 km SSW of Indios, Puerto Rico",1608831227
2020,12,24,17:13:33,17.9496,-66.8431,12,3.7,"5 km SSW of Indios, Puerto Rico",1608830013
2020,12,24,16:56:39,17.9331,-66.8451,10,4.8,"6 km SE of Maria Antonia, Puerto Rico",1608828999
2020,12,24,16:56:39,17.9227,-66.7025,10,4.9,"8 km S of Tallaboa, Puerto Rico",1608828999
2020,12,24,16:56:38,17.889,-66.829,5,4.9,"11 km S of Indios, Puerto Rico",1608828998
2020,12,24,16:49:04,17.977,-66.8378,8,3.6,"2 km SW of Indios, Puerto Rico",1608828544
2020,12,24,16:03:27,17.9853,-66.8327,15.3,3.5,"1 km SW of Indios, Puerto Rico",1608825807
2020,12,24,16:03:07,17.921,-66.8338,11,3.7,"8 km S of Indios, Puerto Rico",1608825787
2020,12,24,11:17:00,17.9335,-66.8425,12,4,"7 km SE of Maria Antonia, Puerto Rico",1608808620
2020,12,24,11:16:59,17.8252,-66.828,10,4,"18 km SSE of Maria Antonia, Puerto Rico",1608808619
2020,12,24,9:34:24,17.9263,-66.8471,12,3.6,"7 km SE of Maria Antonia, Puerto Rico",1608802464
2020,12,24,9:21:19,17.933,-66.8421,12,4,"7 km SE of Maria Antonia, Puerto Rico",1608801679
2020,12,24,9:21:18,17.9094,-66.8454,10,3.9,"8 km SSE of Maria Antonia, Puerto Rico",1608801678
2020,12,24,7:51:30,17.9365,-66.8458,11,3.6,"6 km SE of Maria Antonia, Puerto Rico",1608796290
2020,12,24,7:43:40,17.847,-66.8452,10,3.7,"15 km SSE of Maria Antonia, Puerto Rico",1608795820
2020,12,24,3:57:48,17.925,-66.8488,11,3.5,"7 km SE of Maria Antonia, Puerto Rico",1608782268
2020,12,24,3:57:46,17.8,-66.8361,10,3.5,"20 km SSE of Guánica, Puerto Rico",1608782266
2020,12,24,3:04:19,18.7153,-64.68,30,3.7,"44 km NNE of Cruz Bay, U.S. Virgin Islands",1608779059
2020,12,24,3:04:17,18.7208,-64.6245,35,3.5,"46 km NNE of Cruz Bay, U.S. Virgin Islands",1608779057
2020,12,23,17:32:45,17.9201,-66.9253,9,3.6,"5 km SSW of Guánica, Puerto Rico",1608744765
2020,12,18,22:48:08,18.2181,-64.8441,142,3.7,"13 km SSW of Cruz Bay, U.S. Virgin Islands",1608331688
2020,12,16,10:05:30,18.2675,-65.0073,132,3.8,"11 km SW of Charlotte Amalie, U.S. Virgin Islands",1608113130
2020,12,12,15:01:56,18.0186,-66.7791,13,3.6,Puerto Rico region,1607785316
2020,12,10,14:36:18,17.9516,-66.9786,9,3.6,"7 km ESE of La Parguera, Puerto Rico",1607610978
2020,12,3,9:09:19,17.859,-66.8563,7,3.6,"13 km SSE of Guánica, Puerto Rico",1606986559
2020,11,26,19:56:08,17.8365,-66.9096,12,3.6,"14 km S of Guánica, Puerto Rico",1606420568
2020,11,22,11:28:12,17.9328,-66.8471,16,3.9,"6 km SE of Maria Antonia, Puerto Rico",1606044492
2020,11,18,8:11:18,18.1481,-67.402,11,3.6,"24 km WNW of Puerto Real, Puerto Rico",1605687078
2020,10,26,1:39:49,17.96,-66.9755,6,3.5,"7 km WSW of Fuig, Puerto Rico",1603676389
2020,10,26,1:39:48,17.9947,-66.9788,17.6,4.2,"6 km SW of Liborio Negron Torres, Puerto Rico",1603676388
2020,10,15,18:06:34,17.94,-66.9838,10,3.8,"7 km ESE of La Parguera, Puerto Rico",1602785194
2020,10,13,20:40:54,18.1811,-67.9355,115,3.6,"66 km SE of Punta Cana, Dominican Republic",1602621654
2020,10,11,7:21:00,18.0008,-67.0261,10,4,"3 km NE of La Parguera, Puerto Rico",1602400860
2020,10,11,7:21:00,17.9396,-67.0581,11,3.7,"4 km SSW of La Parguera, Puerto Rico",1602400860
2020,10,11,4:00:47,17.9396,-67.0515,12,3.7,"3 km S of La Parguera, Puerto Rico",1602388847
2020,10,6,23:03:02,17.9193,-66.8908,6,4.1,"6 km SSE of Guánica, Puerto Rico",1602025382
2020,9,29,13:29:59,17.9475,-67.0695,11,3.9,"3 km SW of La Parguera, Puerto Rico",1601386199
2020,9,27,4:29:04,17.9884,-67.0461,10,3.5,"1 km N of La Parguera, Puerto Rico",1601180944
2020,9,27,4:28:08,17.9349,-67.024,13.3,4.2,"5 km SSE of La Parguera, Puerto Rico",1601180888
2020,9,27,4:28:08,17.9331,-67.0671,12,4.1,"5 km SSW of La Parguera, Puerto Rico",1601180888
2020,9,27,4:26:40,17.8532,-67.0559,10,3.8,"13 km S of La Parguera, Puerto Rico",1601180800
2020,9,26,11:38:38,17.9562,-67.0468,10,3.6,"2 km S of La Parguera, Puerto Rico",1601120318
2020,9,13,10:18:46,18.1801,-64.7693,129,3.6,"16 km S of Cruz Bay, U.S. Virgin Islands",1599992326
2020,9,10,4:56:05,17.8277,-67.106,10,3.8,"17 km SSW of La Parguera, Puerto Rico",1599713765
2020,9,6,21:38:46,17.919,-66.9068,9,3.5,"5 km S of Guánica, Puerto Rico",1599428326
2020,9,6,21:38:45,17.8217,-66.8928,10,3.8,"16 km S of Guánica, Puerto Rico",1599428325
2020,9,5,4:08:14,17.9668,-67.598,10,3.6,"43 km W of Pole Ojea, Puerto Rico",1599278894
2020,9,5,4:08:14,18.0349,-67.5486,35.7,3.7,"38 km W of Puerto Real, Puerto Rico",1599278894
2020,9,4,20:05:42,18.2838,-65.4576,116,3.7,"14 km N of Isabel Segunda, Puerto Rico",1599249942
2020,8,29,16:33:45,17.9626,-66.9743,7,4.1,"6 km WSW of Fuig, Puerto Rico",1598718825
2020,8,22,13:21:36,18.0536,-66.83,10,3.9,"2 km NE of Yauco, Puerto Rico",1598102496
2020,8,19,0:24:42,17.8805,-66.9878,17.4,3.7,Puerto Rico region,1597796682
2020,8,15,9:30:48,18.1491,-67.7273,155,3.6,"54 km WSW of Stella, Puerto Rico",1597483848
2020,8,15,3:37:45,18.745,-64.6005,30,3.9,"50 km NNE of Cruz Bay, U.S. Virgin Islands",1597462665
2020,8,15,3:37:44,18.6409,-64.542,35,3.7,"43 km NE of Cruz Bay, U.S. Virgin Islands",1597462664
2020,8,7,3:27:00,17.995,-66.7606,12,4.8,"2 km SSE of Magas Arriba, Puerto Rico",1596770820
2020,8,7,3:27:00,17.946,-66.752,2,5.2,"6 km SW of Tallaboa, Puerto Rico",1596770820
2020,8,6,22:28:50,17.9911,-66.758,13,3.6,"3 km SSE of Magas Arriba, Puerto Rico",1596752930
2020,8,1,20:07:58,17.9115,-66.6841,31,3.5,"9 km SSE of Tallaboa, Puerto Rico",1596312478
2020,7,31,3:24:38,18.0333,-64.7961,29,3.6,"32 km S of Cruz Bay, U.S. Virgin Islands",1596165878
2020,7,29,8:50:07,17.935,-66.9113,13,3.5,"4 km S of Guánica, Puerto Rico",1596012607
2020,7,29,8:45:56,17.9313,-66.9128,13,3.8,"4 km S of Guánica, Puerto Rico",1596012356
2020,7,26,10:39:44,18.7076,-64.5985,30,4,"46 km NNE of Cruz Bay, U.S. Virgin Islands",1595759984
2020,7,25,12:59:49,17.9955,-66.7653,11,3.6,"2 km S of Magas Arriba, Puerto Rico",1595681989
2020,7,24,0:13:25,17.9941,-66.7623,13,3.6,"2 km SSE of Magas Arriba, Puerto Rico",1595549605
2020,7,23,21:10:43,18.0176,-66.8325,12,3.8,"2 km SE of Yauco, Puerto Rico",1595538643
2020,7,23,4:44:16,17.8961,-66.8605,12,3.9,"9 km SSE of Maria Antonia, Puerto Rico",1595479456
2020,7,19,14:56:52,17.9138,-66.8455,13,3.6,"8 km SSE of Maria Antonia, Puerto Rico",1595170612
2020,7,12,12:52:02,18.7241,-64.9516,13,3.7,"42 km N of Charlotte Amalie, U.S. Virgin Islands",1594558322
2020,7,8,5:47:06,17.9543,-66.9691,6,3.6,"6 km WSW of Fuig, Puerto Rico",1594187226
2020,7,6,21:31:11,17.95,-66.9578,7,3.5,"5 km WSW of Guánica, Puerto Rico",1594071071
2020,7,6,15:33:34,17.9441,-67.08,11,3.7,"4 km SW of La Parguera, Puerto Rico",1594049614
2020,7,5,12:25:14,17.9398,-66.9578,5,3.5,"6 km WSW of Guánica, Puerto Rico",1593951914
2020,7,4,22:31:26,17.9555,-66.9841,7,3.5,"6 km ESE of La Parguera, Puerto Rico",1593901886
2020,7,4,6:24:23,17.9553,-66.988,5,3.6,"6 km ESE of La Parguera, Puerto Rico",1593843863
2020,7,3,21:17:39,17.964,-66.9786,6,3.6,"7 km WSW of Fuig, Puerto Rico",1593811059
2020,7,3,21:00:08,17.9503,-67.0171,6,4.1,"4 km SE of La Parguera, Puerto Rico",1593810008
2020,7,3,20:49:45,17.8995,-67.0048,3,5.3,"9 km SSE of La Parguera, Puerto Rico",1593809385
2020,7,3,13:54:50,17.9443,-67.0035,6,4.9,"5 km SE of La Parguera, Puerto Rico",1593784490
2020,7,3,8:48:52,17.9331,-66.9481,13,3.6,"6 km SW of Guánica, Puerto Rico",1593766132
2020,7,2,3:37:09,17.9485,-66.9166,10,3.8,"2 km SSW of Guánica, Puerto Rico",1593661029
2020,6,30,6:10:01,17.9971,-66.7701,12,3.6,"3km S of Magas Arriba, Puerto Rico",1593497401
2020,6,29,22:25:08,17.9398,-66.8838,9,3.5,"12km SSE of Guanica, Puerto Rico",1593469508
2020,6,29,16:59:14,17.9571,-66.9286,13,3.6,"7km SSW of Guanica, Puerto Rico",1593449954
2020,6,29,7:15:15,17.9496,-66.9736,5,3.9,"11km SSE of La Parguera, Puerto Rico",1593414915
2020,6,28,23:12:48,17.934,-66.9495,13,3.6,"20km SSW of Guanica, Puerto Rico",1593385968
2020,6,28,22:48:49,17.9443,-66.9495,13,4.5,"9km S of Guanica, Puerto Rico",1593384529
2020,6,28,21:43:57,17.9458,-66.948,12,3.7,"10km SSW of Guanica, Puerto Rico",1593380637
2020,6,28,11:54:21,17.9351,-66.9231,12,4.3,"2km SSW of Guanica, Puerto Rico",1593345261
2020,6,28,7:30:38,17.9446,-66.943,9,3.5,"3km WSW of Guanica, Puerto Rico",1593329438
2020,6,28,6:45:06,17.9461,-66.9393,8,4.4,"5km S of Guanica, Puerto Rico",1593326706
2020,6,28,6:42:42,17.9396,-66.9415,11,4.8,"3km W of Fuig, Puerto Rico",1593326562
2020,6,24,2:30:58,17.9921,-66.8323,15,3.8,"1km WNW of Guayanilla, Puerto Rico",1592965858
2020,6,21,22:53:59,17.9228,-66.882,6,3.5,"9km SSE of Guanica, Puerto Rico",1592780039
2020,6,18,6:38:34,17.9233,-66.7635,6,3.7,"10km SSW of Tallaboa, Puerto Rico",1592462314
2020,6,15,6:00:48,17.9316,-67.0081,4,3.7,"8km S of La Parguera, Puerto Rico",1592200848
2020,6,13,22:31:18,17.9361,-66.9443,12,3.6,"14km SSW of Guanica, Puerto Rico",1592087478
2020,6,13,5:52:34,17.9601,-66.9471,9,4.5,"10km SSW of Guanica, Puerto Rico",1592027554
2020,6,12,7:36:35,17.925,-66.6616,5,3.6,"10km SSW of Ponce, Puerto Rico",1591947395
2020,6,11,6:45:17,17.9213,-66.5835,6,3.7,"9km SSE of Ponce, Puerto Rico",1591857917
2020,6,4,14:46:18,17.9113,-66.852,12,4.2,"10km S of Indios, Puerto Rico",1591281978
2020,6,1,12:05:51,17.9773,-66.8193,11,4.1,"7km SSE of Indios, Puerto Rico",1591013151
2020,5,31,19:56:32,18.4335,-65.0218,6,3.8,"17km NW of Charlotte Amalie, U.S. Virgin Islands",1590954992
2020,5,31,16:47:07,17.8789,-66.7408,10,4.2,"13km SSW of Tallaboa, Puerto Rico",1590943627
2020,5,29,1:58:51,17.9121,-66.5941,5,3.7,"11km SSE of Ponce, Puerto Rico",1590717531
