SAMPLE CODE,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT,Rugosity (m),Recently dead coral,Reef overhang,Rubble,Sand,Sand and rubble,Pavement,Gaps/Holes,Abiotic (total),Bartholomea annulata,Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Rhodactis osculifera,Anemone spp.,Anemones (total),Eudistoma spp.,Trididemnum solidum,Ascidian spp.,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp.,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.,Caulerpa spp. on Ramicrusta,Dichotomaria marginata,Dictyota spp.,Dictyota spp. on Ramicrusta,Galaxaura spp.,Galaxaura spp. on Ramicrusta,Gracilaria spp.,Halimeda discoidea,Halimeda spp.,Halimeda spp. on Ramicrusta,Halimeda tuna,Jania spp.,Lobophora spp.,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp.,Sargassum hystrix,Sargassum natans,Stypopodium spp.,Stypopodium zonale,Udotea spp.,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp.,Macroalgae (total),Ramicrusta spp.,Peyssonnelia spp.,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp.,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp.,Plexaurella nutans,Plexaurella spp.,Pseudoplexaura flagellosa,Pseudoplexaura spp.,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp.(encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp. (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea laciniata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp. (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp. (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp. (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp. (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp. (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp.,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon caribica,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina insularis,Aplysina lacunosa,Aplysina spp.,Biemna caribea,Biemna spp.,Callyspongia armigera,Callyspongia (Callyspongia) fallax,Callyspongia plicifera,Callyspongia spp.,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.,Clathria (Thalysias) venosa,Cliona aprica,Cliona caribbaea,Cliothosa delitrix,Cliona spp.,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp.,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp.,Diplastrella spp.,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp.,Halisarca caerulea,Halisarca spp.,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp.,Ircinia strobilina,Monanchora arbuscula,Mycale (Mycale) laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp.,Niphates alba,Niphates amorpha,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp.,Coelocarteria bartschi,Petrosia (Petrosia) pellasarca,Petrosia spp.,Petrosia (Petrosia) weinbergi,Phorbas amaranthus,Timea micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp.,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp.,Svenzea cristinae,Svenzea zeai,Tedania (Tedania) klausi,Topsentia ophiraphidites,Topsentia spp.,Verongula reiswigi,Verongula rigida,Verongula spp.,Xestospongia muta,Sponge spp.,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia fragilis,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp.,Manicina areolata,Meandrina jacksoni,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp.,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp.,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp.,Millepora alcicornis,Millepora complanata,Millepora spp.,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Stony Corals (total # bleached col.),Partially bleached coral (total),Condominium spp.,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total)
2004Canjilones (Vieques)4,2004,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,4,4.34,,18.18,0.00,0.00,0.00,,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,4.52,0.00,0.00,0.00,,,47.64,47.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,3.93,0.00,0.00,0.00,3.54,0.00,0.98,0.00,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,11.49,,,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,24.56,,,,,0.00,0.00,0.00,0.00
2004Canjilones (Vieques)5,2004,Vieques/Culebra,Isla Vieques,Canjilones (Vieques),Intermediate,5,4.96,,20.72,0.00,1.70,0.00,,0.00,22.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,4.33,0.00,0.00,0.00,,,35.69,35.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,4.61,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00,0.66,0.00,0.00,,28.53,,,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.30,,,,,0.00,0.00,0.00,0.00
2004Monte Pirata1,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004Monte Pirata2,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,2,4.89,,10.22,0.00,12.58,0.00,,0.00,22.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.18,0.00,0.00,0.00,,,47.31,47.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,13.72,,,0.47,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,1.61,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,26.20,,,,,0.00,0.00,0.00,0.00
2004Monte Pirata3,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,3,3.73,,17.75,0.00,2.15,0.00,,0.00,19.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,63.28,63.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,1.95,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,2.05,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.36,,,0.41,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.87,,,,,0.00,0.00,0.00,0.00
2004Monte Pirata4,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,4,5.51,,8.72,0.00,0.00,0.00,,0.00,8.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,0.91,0.00,0.00,0.00,,,58.58,58.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64,1.64,0.00,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,1.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17.80,,,3.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.36,1.82,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,29.52,,,,,0.00,0.00,0.64,0.64
2004Monte Pirata5,2004,Vieques/Culebra,Isla Vieques,Monte Pirata,Intermediate,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004Mosquito1,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,1,3.56,,10.90,0.00,0.00,0.00,,0.00,10.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,1.45,0.00,0.00,0.00,,,59.40,59.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.94,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,16.00,,,2.18,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,1.25,1.04,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,24.92,,,,,0.00,0.00,0.31,0.31
2004Mosquito2,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,2,4.37,,15.49,5.59,0.00,0.00,,0.00,21.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,0.00,0.00,0.00,,,43.53,43.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.69,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19.60,,,3.33,0.00,0.00,0.00,2.55,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,32.25,,,,,0.00,0.00,0.00,0.00
2004Mosquito3,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,3,3.30,,11.76,0.00,0.00,0.00,,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.53,0.00,0.00,0.00,,,35.60,35.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,3.39,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,32.73,,,1.48,0.00,0.00,0.00,6.15,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.67,,,,,0.00,0.00,0.00,0.00
2004Mosquito4,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,4,3.75,,13.73,0.00,0.51,0.00,,0.00,14.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.41,0.00,0.00,0.00,,,43.96,43.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.74,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.37,0.00,0.00,0.00,1.54,1.43,0.00,0.00,,11.27,,,5.54,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,37.10,,,,,0.00,0.00,0.00,0.00
2004Mosquito5,2004,Vieques/Culebra,Isla Vieques,Mosquito,Shallow,5,4.11,,15.37,0.00,0.00,0.00,,0.00,15.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,44.51,44.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,5.19,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.59,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,17.37,,,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,3.19,0.00,0.30,0.00,0.40,0.00,0.00,0.00,0.00,34.23,,,,,0.00,0.00,0.00,0.00
2004Puerto Botes 15m1,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,1,3.69,,8.11,0.00,0.00,0.00,,0.00,8.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,2.70,0.00,0.00,0.00,,,70.27,70.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,1.97,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.62,0.00,0.00,,8.55,,,2.05,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,,,,,0.00,0.00,0.00,0.00
2004Puerto Botes 15m2,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,2,3.80,,8.70,0.00,5.29,0.00,,0.00,13.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,5.58,0.00,0.00,0.00,,,60.00,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,6.67,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,6.52,,,3.33,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.51,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,13.77,,,,,0.00,0.00,0.00,0.00
2004Puerto Botes 15m3,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,3,5.00,,10.13,0.00,3.60,0.00,,0.00,13.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53,2.53,0.00,0.00,0.00,,,55.36,55.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,2.93,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,18.59,,,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,25.01,,,,,0.00,0.00,0.00,0.00
2004Puerto Botes 15m4,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,4,4.30,,6.91,0.00,7.68,0.00,,0.00,14.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74,17.74,0.00,0.00,0.00,,,47.77,47.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85,9.85,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,5.80,,,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.07,,,,,0.00,0.00,0.00,0.00
2004Puerto Botes 15m5,2004,Mona/Desecheo,Isla Desecheo,Puerto Botes 15m,Intermediate,5,3.78,,5.81,0.00,0.61,0.00,,0.00,6.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.93,8.93,0.00,0.00,0.00,,,47.60,47.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.60,5.60,0.00,0.00,0.00,4.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,19.99,,,1.96,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.96,,,,,0.00,0.00,0.00,0.00
